province,district,wards_location,sector_cluster,lead_agency,implementing_partner,org_type,targeted_people,reached_people_todate,assisted_people,response_activity,beneficiary_type,materials_delivered,delivery_modality,start_date,end_date,total_funds_committed_usd,tot_funds_utilised_todate_usd,funding_source,status_comments
Manicaland,Chimanimani,Kopa,WASH,Mercy Corps,Mercy Corps,NGO,12290,7901,0,"NFI distribution, latrine rehabilitation, ",Displaced persons & general population,Hygiene kits & Latrine Slabs,In-kind,19-Mar,19-Jun,0,0,UNICEF/ Private Funds,On-going
Manicaland,Chipinge,"Ward 5,8,9,14,15,19",WASH,UNICEF/Mercy Corps,Mercy Corps,NGO,3000,2900,0,NFI distribution,Displaced persons & general population,Hygiene kits ,In-kind,19-Mar,19-Jun,0,0,UNICEF,On-going
Manicaland,Buhera,n/a,WASH,Mercy Corps,"Mercy Corps, AWET",NGO,8970,0,0,"Water points repair/rehabilitation, NFI distribution, Hygiene Promotion & sanitation. (Cholera Response)",Displaced persons & general population,Hygiene kits,In-kind,18-Dec,19-Jun,0,0,UNICEF,On-going
Manicaland,Mutare,n/a,WASH,Mercy Corps,Mercy Corps,NGO,5630,0,0,"Water points repair/rehabilitation, NFI distribution, Hygiene Promotion & sanitation. (Cholera Response)",Displaced persons & general population,Hygiene kits not yet delivered,In-kind,19-Mar,19-Jun,0,0,UNICEF,n/a
Manicaland,Makoni,n/a,WASH,Mercy Corps,Mercy Corps,NGO,3900,0,0,"Water points repair/rehabilitation, NFI distribution, Hygiene Promotion & sanitation. (Cholera Response)",Displaced persons & general population,Hygiene kits not yet delivered,In-kind,19-Mar,19-Jun,0,0,UNICEF,n/a
Manicaland,Mutasa,n/a,WASH,Mercy Corps,Mercy Corps,NGO,3500,0,0,"Water points repair/rehabilitation, NFI distribution, Hygiene Promotion & sanitation. (Cholera Response)",Displaced persons & general population,Hygiene kits not yet delivered,n/a,n/a,n/a,0,0,UNICEF,n/a
Manicaland,Chimanimani,"12, 13, 14, 15, 21, ",WASH,UNICEF,WHH,NGO,29000,10000,29000,"Water supply, environmental health, sanitation, hygiene promotion, NFI distribution",Displaced people and General Population,system repair,In-kind,25-Mar-19,31/10/2019,0,0,UNICEF,"On-going with Own Funds, planning for scale up with UNICEF funding "
Manicaland,Chimanimani,n/a,WASH,CARE,CARE,NGO,14000,3374,13500,Planned response,Displaced persons and general population,Hygiene kits,In-kind,27-Mar-19,Jun-19,475000,100000,Care ERF funding and Bill Gates foundation,Planned
Manicaland,Chipinge,n/a,WASH,CARE,CARE,NGO,5000,1204,0,Planned response,Displaced persons and general population,Hygiene kits,In-kind,27-Mar-19,Jun-19,475000,40000,Care ERF funding and Bill Gates foundation,Planned
Manicaland,Mutare,n/a,WASH,UNICEF,CARE,NGO,0,0,0,Rural WASH program,Displaced persons,Hygiene kits and dignity kits,In-kind,n/a,n/a,0,0,n/a,On-going
Manicaland,Bikita,n/a,WASH,CARE,CARE,NGO,2000,427,0,NFI distribution ,Displaced persons and general population,Hygiene kits and dignity kits,In-kind,27-Mar-19,Jun-19,475000,15000,Care ERF funding and Bill Gates foundation ,On-going
Manicaland,Chimanimani,"10,11,13,15,21,22",WASH,Oxfam,Oxfam,NGO,36250,2500,0,"Water supply, hygiene promotion, sanitation","Water supply, hygiene promotion, sanitation",NFI (not yet delivered),In-kind,19-Apr,19-Sep,629275,21427,Oxfam Catastrophic Funding,On-going with internal funding
Manicaland,Chipinge,n/a,WASH,Oxfam,Oxfam,NGO,26250,0,0,"Water supply, hygiene promotion, sanitation",General Pop,NFI (not yet delivered),In-kind,19-Apr,19-Sep,0,0,n/a,Planned (resource mobilization stage)
Manicaland,Mutare,n/a,WASH,UNICEF,GOAL,NGO,0,0,600,NFI distribution,General Pop,Hygiene kits,transfer,19-Mar,19-Mar,0,0,n/a,Finalised
Manicaland,Chimanimani,n/a,WASH,OFDA,GOAL,NGO,0,0,7000,WASH NFI,Displaced persons,Hygiene kits (planned),transfer,19-Mar,19-Mar,0,0,n/a,Planned
Manicaland,Chipinge,n/a,WASH,Private donations/UNICEF,GOAL,NGO,0,0,1600,WASH NFI,Displaced persons,Hygiene kits (planned for 25 march),In-kind,19-Mar,19-Mar,0,0,n/a,Planned
Manicaland,Chipinge,n/a,WASH,Foundation,GOAL,NGO,0,0,2000,WASH NFI,General Pop,hygiene kits,transfer,19-Apr,19-Apr,0,0,n/a,Planned
