Names,recent_Cyclone_Idai_floods_total,nearest_Health_Centre_affected_total,take_any_medication_total,medication_washed_away_total,recent_Cyclone_Idai_floods,nearest_Health_Centre_affected,take_any_medication,medication_washed_away,recent_Cyclone_Idai_floods_no,nearest_Health_Centre_affected_no,take_any_medication_no,medication_washed_away_no
Harare,0,0,0,0,0,0,0,0,0,0,0,0
Manicaland,8014,1692,4417,1805,4689,642,1862,1136,3325,1050,2555,669
Mash Central,0,1,0,1,0,1,0,1,0,0,0,0
Mash East,2,1,2,1,2,1,1,1,0,0,1,0
Mash West,0,0,0,0,0,0,0,0,0,0,0,0
Masvingo,3691,696,1724,760,1858,271,802,479,1833,425,922,281
Mat North,0,0,0,0,0,0,0,0,0,0,0,0
Mat South,0,0,0,0,0,0,0,0,0,0,0,0
Midlands,0,0,0,0,0,0,0,0,0,0,0,0
bulwayo,0,0,0,0,0,0,0,0,0,0,0,0
