Names,Codes,Populations,Province
Buhera,101,245878,Manicaland
Chimanimani,102,134940,Manicaland
Chipinge,103,298841,Manicaland
Makoni,104,272340,Manicaland
Mutare Rural,105,262124,Manicaland
Mutasa,106,168747,Manicaland
Nyanga,107,126599,Manicaland
Mutare,121,187621,Manicaland
Rusape,122,30316,Manicaland
Chipinge_,123,25292,Manicaland
Bindura Rural,201,125219,Mash Central
Muzarabani,202,122791,Mash Central
Guruve,203,124041,Mash Central
Mazowe,204,233450,Mash Central
Mount Darwin,205,212725,Mash Central
Rushinga,206,74040,Mash Central
Shamva,207,123650,Mash Central
Mbire,208,82380,Mash Central
Bindura Urban,221,43675,Mash Central
Mvurwi,222,10549,Mash Central
Chikomba,301,120986,Mash East
Goromonzi,302,224987,Mash East
Hwedza,303,70968,Mash East
Marondera Rural,304,116985,Mash East
Mudzi,305,133252,Mash East
Murehwa,306,199607,Mash East
Mutoko,307,146127,Mash East
Seke,308,100756,Mash East
UMP,309,112611,Mash East
Marondera,321,61998,Mash East
Ruwa Local Board,323,56678,Mash East
Chegutu Rural,401,153655,Mash West
Hurungwe,402,329197,Mash West
Mhondoro Ngezi,403,104342,Mash West
Kariba Rural,404,41369,Mash West
Makonde,405,153540,Mash West
Zvimba,406,263020,Mash West
Sanyati,407,112897,Mash West
Chinhoyi,421,77929,Mash West
Kadoma,422,92469,Mash West
Chegutu,423,50590,Mash West
Kariba,424,26451,Mash West
Norton,425,67591,Mash West
Karoi,426,28606,Mash West
Binga,501,139092,Mat North
Bubi,502,61883,Mat North
Hwange Rural,503,62670,Mat North
Lupane,504,100161,Mat North
Nkayi,505,109135,Mat North
Tsholotsho,506,115119,Mat North
Umguza,507,89687,Mat North
Hwange,521,37522,Mat North
Victoria Falls,522,33748,Mat North
Beitbridge Rural,601,80083,Mat South
Bulilima,602,90561,Mat South
Mangwe,603,66218,Mat South
Gwanda Rural,604,115778,Mat South
Insiza,605,100333,Mat South
Matobo,606,93940,Mat South
Umzingwane,607,62990,Mat South
Gwanda,621,20227,Mat South
Beitbridge,622,42137,Mat South
Plumtree,623,11626,Mat South
Chirumhanzu,701,80351,Midlands
Gokwe North,702,240352,Midlands
Gokwe South,703,305982,Midlands
Gweru Rural,704,91806,Midlands
Kwekwe Rural,705,174727,Midlands
Mberengwa,706,185757,Midlands
Shurugwi Rural,707,77570,Midlands
Zvishavane,708,72513,Midlands
Gweru,721,157865,Midlands
Kwekwe,722,100900,Midlands
Redcliff,723,35929,Midlands
Zvishavane Mine,724,45230,Midlands
Gokwe Town,725,24054,Midlands
Shurugwi,726,21905,Midlands
Bikita,801,162356,Masvingo
Chiredzi,802,275759,Masvingo
Chivi,803,166049,Masvingo
Gutu,804,203083,Masvingo
Masvingo Rural,805,211215,Masvingo
Mwenezi,806,166993,Masvingo
Zaka,807,181301,Masvingo
Masvingo,821,87886,Masvingo
Chiredzi Town,822,30448,Masvingo
Harare Rural,901,113599,Harare
Harare Urban,921,1485231,Harare
Chitungwiza,922,356840,Harare
Epworth,923,167462,Harare
Bulawayo,21,653337,Harare
