Admin_1,pcode_admin1,POP_Males_2012,Pop_FEMALE_2012,Total_Pop_2012,Household_No,Ave_Household_size
Bulawayo, ZW10 ,304446,351229,655675,167092,114
Harare, ZW19 ,1011831,1086368,2098199,531967,308
Manicaland, ZW11 ,831762,923238,1755000,416871,1088
Mashonaland Central, ZW12 ,559702,580238,1139940,270617,1034
Mashonaland East, ZW13 ,648207,688852,1337059,329717,936
Mashonaland West, ZW14 ,721218,728720,1449938,336262,993
Matabeleland North, ZW15 ,359173,384698,743871,163966,895
Matabeleland South, ZW16 ,328009,357037,685046,156424,763
Midlands, ZW17 ,779233,843243,1622476,362109,1356
Masvingo, ZW18 ,691350,795254,1486604,341197,1075
