Admin_3,pcode_admin3,POP_Males_2012,Pop_FEMALE_2012,Total_Pop_2012,Household_No,Ave_Household_size
Bulawayo-1, ZW102101 ,5792,6466,12258,3867,3
Bulawayo-2, ZW102102 ,13164,14660,27824,7240,4
Bulawayo-3, ZW102103 ,14272,15648,29920,8018,4
Bulawayo-4, ZW102104 ,12060,13052,25112,7380,3
Bulawayo-5, ZW102105 ,8831,9926,18757,5303,4
Bulawayo-6, ZW102106 ,6223,7181,13404,3479,4
Bulawayo-7, ZW102107 ,8720,9190,17910,4802,4
Bulawayo-8, ZW102108 ,11337,12923,24260,5830,4
Bulawayo-9, ZW102109 ,13089,14747,27836,7187,4
Bulawayo-10, ZW102110 ,13772,15664,29436,7605,4
Bulawayo-11, ZW102111 ,8869,10380,19249,4697,4
Bulawayo-12, ZW102112 ,12615,14059,26674,6789,4
Bulawayo-13, ZW102113 ,9477,10286,19763,5130,4
Bulawayo-14, ZW102114 ,9556,11032,20588,5200,4
Bulawayo-15, ZW102115 ,5781,7095,12876,3089,4
Bulawayo-16, ZW102116 ,7530,9393,16923,4170,4
Bulawayo-17, ZW102117 ,8060,9207,17267,4195,4
Bulawayo-18, ZW102118 ,10502,12439,22941,5928,4
Bulawayo-19, ZW102119 ,9643,11199,20842,5275,4
Bulawayo-20, ZW102120 ,8589,10440,19029,4547,4
Bulawayo-21, ZW102121 ,13577,14896,28473,7010,4
Bulawayo-22, ZW102122 ,8779,10668,19447,4798,4
Bulawayo-23, ZW102123 ,8895,10605,19500,4909,4
Bulawayo-24, ZW102124 ,11236,12611,23847,6011,4
Bulawayo-25, ZW102125 ,11638,13349,24987,6038,4
Bulawayo-26, ZW102126 ,9622,11574,21196,5134,4
Bulawayo-27, ZW102127 ,13859,17400,31259,7450,4
Bulawayo-28, ZW102128 ,20490,24858,45348,11342,4
Bulawayo-29, ZW102129 ,8468,10281,18749,4669,4
HarareRural-1, ZW192401 ,56326,56794,113120,28691,4
Harare-2, ZW192102 ,16344,19948,36292,9300,4
Harare-3, ZW192103 ,11493,10750,22243,5727,4
Harare-4, ZW192104 ,7790,7180,14970,3926,4
Harare-5, ZW192105 ,10362,11352,21714,5782,4
Harare-6, ZW192106 ,9591,11929,21520,6761,3
Harare-7, ZW192107 ,15355,13903,29258,7925,4
Harare-8, ZW192108 ,10116,10182,20298,6698,3
Harare-9, ZW192109 ,22475,23837,46312,12379,4
Harare-10, ZW192110 ,10560,11411,21971,5571,4
Harare-11, ZW192111 ,10119,10623,20742,5061,4
Harare-12, ZW192112 ,10911,11373,22284,5380,4
Harare-13, ZW192113 ,11218,11991,23209,5438,4
Harare-14, ZW192114 ,14777,15744,30521,7890,4
Harare-15, ZW192115 ,31214,34840,66054,15787,4
Harare-16, ZW192116 ,20941,24815,45756,10978,4
Harare-17, ZW192117 ,12010,12622,24632,7599,3
Harare-18, ZW192118 ,16341,16291,32632,9980,3
Harare-19, ZW192119 ,10355,10790,21145,5164,4
Harare-20, ZW192120 ,11797,12459,24256,5950,4
