DISTRICT NAME,WARD No.,SCHOOL NAME,LATITUDE (Y),LONGITUDE (X)
Buhera,11,St. Albans Chiweshe,-19.2105092,31.8451017
Buhera,26,Mutepfe,-19.755362,31.9676641
Buhera,30,Gunura,-19.8608559,32.295507
Buhera,15,Madzivire Secondary School,-19.3129743,31.7136095
Buhera,10,Machacha,-19.1479113,31.6922427
Buhera,9,Chinhoro Primary School,-19.1135734,31.6973498
Buhera,5,Buhera High School,-19.3198663,31.4303284
Buhera,10,Hande,-19.119267,31.7480493
Buhera,23,Machira,-19.5020297,32.1221056
Buhera,29,Nechikova,-19.8919527,32.2388949
Buhera,30,Chako,-19.8274784,32.3527159
Buhera,12,St Anthony Madhewu,-19.1905804,32.0145641
Buhera,6,Munyira High,-19.3345714,31.4896511
Buhera,17,Mukono,-19.3402643,31.8086507
Buhera,8,St Benards Primary,-19.0731376,31.6307063
Buhera,5,Makumbe Primary School,-19.2552289,31.5378452
Buhera,21,Mukambirwa,-19.6176223,31.8585395
Buhera,15,Mudanda Secondary School,-19.3697592,31.7118168
Buhera,27,Dzaramba,-19.7023465,31.9729266
Buhera,10,St Michaels,-19.1190349,31.8284958
Buhera,21,Besira,-19.5828113,31.8286391
Buhera,22,Zvomwoyo Primary school,-19.4897011,31.9193707
Buhera,6,Nyanzira,-19.3027344,31.527208
Buhera,6,Mutasa,-19.3544083,31.541484
Buhera,22,Mafuruse Primary school,-19.5362185,31.9481825
Buhera,12,Chinhuwo,-19.2530714,31.9832017
Buhera,26,Mutepfe,-19.7715669,31.9492578
Buhera,32,Maneta,-19.4609053,31.8142469
Buhera,10,Hande,-19.119263,31.7479907
Buhera,25,Manjokota,-19.6530952,31.9933396
Buhera,7,Mombeyarara,-19.2004671,31.5963953
Buhera,9,ST Philips Mukamba,-19.0420876,31.7339098
Buhera,26,Imbi,-19.8227739,32.0236571
Buhera,15,Mudanda Primary,-19.3728337,31.7119149
Buhera,15,Ndongwe Secondary School,-19.2940339,31.8061427
Buhera,5,Gokoro Primary School,-19.1922171,31.5274213
Buhera,31,Mahoko,-19.095253,31.5819167
Buhera,1,Mudzamiri,-19.1369909,31.370499
Buhera,15,Chingozhoro,-19.3087241,31.7756587
Buhera,8,St Bensrds Secondary,-19.0707689,31.6268966
Buhera,29,Bhegedhe,-19.8349098,32.0826989
Buhera,16,Bika,-19.4346307,31.6900968
Buhera,32,Chimbudzi,-19.464357,31.777996
Buhera,1,Kuenda,-19.1351201,31.4331887
Buhera,9,Gunde Primary School,-19.0691272,31.6908438
Buhera,15,Madzivire Primary School,-19.3155215,31.7149891
Buhera,15,Ndongwe Primary School,-19.2856031,31.8212719
Buhera,27,Zumbie Ngomayiwisi,-19.7360548,32.0197336
Buhera,11,Moses The Profet,-19.1277868,31.8908571
Buhera,9,Holy Family Seacondary School,-19.0523317,31.773061
Buhera,27,Mutiusinazita,-19.7216252,32.0683291
Buhera,25,Zangama,-19.5558209,32.0991932
Buhera,29,Muchini,-19.8709182,32.1153766
Buhera,28,Murove,-19.6438165,32.068815
Buhera,3,Chatindo,-19.2174514,31.4385784
Buhera,8,Chiturike Primary,-19.1423565,31.6524678
Buhera,30,Gunura,-19.8495423,32.3075222
Buhera,25,Zangama,-19.5510748,32.0978007
Buhera,25,Romorehoto,-19.5608142,32.1804058
Buhera,16,Muteve,-19.4053361,31.5766433
Buhera,30,Nechishanyi,-19.7733824,32.307429
Buhera,2,Bere,-19.256964,31.259076
Buhera,11,St. Albans Chiweshe,-19.2120118,31.8403765
Buhera,24,Nyadi,-19.7044997,31.9141132
Buhera,26,Muchuva,-19.7766786,32.033405
Buhera,22,Muzirikazi Secondary school,-19.5412224,32.0109962
Buhera,23,Chirozva,-19.4788151,32.084819
Buhera,4,Cikuvire,-19.3402823,31.4054032
Buhera,24,Mushongwi,-19.6610506,31.9523046
Buhera,5,Buhera Village Primary School,-19.3296639,31.4412593
Buhera,29,Neshumba,-19.7457613,32.1981338
Buhera,13,Masocha,-19.2088101,31.7672913
Buhera,10,St Michaels,-19.1151608,31.8127383
Buhera,31,Chwatama,-19.1388649,31.59819
Buhera,9,Holy Family,-19.0612755,31.7908566
Buhera,19,Bangure,-19.5280443,31.7632062
Buhera,7,Ngombeyarara,-19.1989157,31.5998991
Buhera,22,Matereke Primary School,-19.479408,31.8577791
Buhera,5,Buhera Vocational Training Centre,-19.3309696,31.4390201
Buhera,18,Mumbijo,-19.322023,31.8824092
Buhera,24,Muzokomba,-19.6002717,31.949387
Buhera,32,Chimbudzi,-19.4563672,31.7635253
Buhera,21,Murwira,-19.5218934,31.8275237
Buhera,3,Gwebu,-19.2209113,31.3972851
Buhera,24,Muzokomba Government High,-19.5785729,31.9615898
Buhera,31,Ndawana,-19.1412759,31.5522556
Buhera,3,Ngundu,-19.2468833,31.4335284
Buhera,23,Kandenga,-19.4564774,32.0154387
Buhera,29,Chabata,-19.7922826,32.1537521
Buhera,24,Mukodza,-19.6565953,31.9707093
Buhera,20,Nhamo,-19.3271605,32.0563722
Buhera,5,Gosho Primary school,-19.1929831,31.4869775
Buhera,10,Hande,-19.1221868,31.7460122
Buhera,24,Nyadi Secondary,,
Buhera,33,Chiunga,-19.9569242,32.2550754
Buhera,4,Nerutanga,-19.2847705,31.3555298
Buhera,15,Kwarire Primary School,-19.2637085,31.7512283
Buhera,22,Gotora Secondary School,-19.5221809,31.8782575
Buhera,4,Nerutanga,-19.2866156,31.3633201
Buhera,10,St John Chifamba,-19.1601807,31.7527885
Buhera,13,Neshava,-19.2494959,31.6802889
Buhera,9,Gunde Secondary School,-19.066978,31.691177
Buhera,24,Zvekare,-19.5835783,31.912181
Buhera,22,Marambanyika Primary school,-19.4934764,31.9754715
Buhera,1,St George Mbundire,-19.1523397,31.3973746
Buhera,16,Nechavava,-19.4115046,31.6238905
Buhera,1,Madende,-19.1770652,31.414666
Buhera,8,Chirasauta Primary,-19.0436807,31.5995265
Buhera,12,Mavangwe,-19.2218826,31.894144
Buhera,5,Gute Primary School,-19.2332366,31.5378631
Buhera,6,Mutasa,,
Buhera,19,Nyamakute,-19.4568091,31.723513
Buhera,31,Mugwebhi,-19.1708882,31.5694357
Buhera,7,Mukondomi Primary,-19.1840071,31.6552455
Buhera,5,Makwiramiti Primary School,-19.2500393,31.4828729
Buhera,18,Nyashsnu Rcz,-19.2840291,31.8597416
Buhera,12,Mavangwe,-19.2222528,31.8918475
Buhera,21,Pedzisai,-19.6555528,31.8680441
Buhera,22,Muzirikazi Primary school,-19.5440411,31.9818292
Buhera,21,Mukambirwa,-19.6105436,31.8546992
Buhera,32,Chiurwi,-19.4401325,31.8574604
Buhera,32,Changamire,-19.3844801,31.916158
Buhera,32,Changamire,-19.3884649,31.9119211
Buhera,18,Mutauto Secondary  School,,
Buhera,18,Mutauto Primary  School,-19.3038061,31.9418032
Buhera,18,Nyashsnu,-19.2818527,31.8688882
Buhera,3,Gwebu,-19.2237857,31.3972219
Buhera,6,Matsveru,-19.3189365,31.5807778
Buhera,1,Mudzamiri,-19.1406244,31.3467019
Buhera,32,Chiurwi,-19.4365113,31.860629
Buhera,24,Matsakanure,-19.6341571,31.902938
Buhera,33,Kufakwatenzi,-19.9180376,32.2995277
Buhera,6,Mamunyadza High,-19.3345753,31.5596025
Buhera,29,Chabata,-19.792271,32.1537649
Buhera,29,Bhegedhe,-19.8322664,32.0953067
Buhera,23,Mupeza,-19.499087,32.0374113
Buhera,23,Chirozva,-19.4524446,32.1070515
