DISTRICT NAME,WARD No.,VILLAGE NAME / No.,LATITUDE (Y),LONGITUDE (X)
Buhera,23,Jombo,-19.4838829,32.1012535
Buhera,32,Hamandishe,-19.42329,31.8315239
Buhera,5,Chiremba Village,-19.2789783,31.4326649
Buhera,32,Sanangura,-19.43822,31.8815956
Buhera,29,Choumwe,-19.7777767,32.2120476
Buhera,27,Kandoro,-19.7718945,32.08716
Buhera,22,Zariro,-19.46499,31.9295979
Buhera,13,MUTEMA,-19.1715755,31.70867
Buhera,22,Gwazvo,-19.4976387,31.9902515
Buhera,14,Murwira,-19.2850018,31.6704578
Buhera,23,Gotosa,-19.4894276,32.05907
Buhera,29,Mukombe,-19.803894,32.198658
Buhera,29,Gori,-19.8025818,32.19001
Buhera,1,Masamha,-19.15119,31.4592571
Buhera,6,Mubayi,-19.3084583,31.5768032
Buhera,5,Mututu,-19.1709881,31.47286
Buhera,15,Zivei,-19.3548412,31.7464676
Buhera,5,Nyangaridzo,-19.2055416,31.5404453
Buhera,12,Gaza,-19.22379,32.0075264
Buhera,29,Kuerera,-19.718008,32.2284851
Buhera,6,Madzivanyika,-19.391798,31.5549622
Buhera,30,Negombore,-19.8494987,32.3272476
Buhera,25,Charehwandishe,-19.56083,32.06307
Buhera,15,Mahove Village,-19.30518,31.7699642
Buhera,2,Mupakurirwa,-19.2388859,31.2630138
Buhera,22,Nyapfumbi,-19.5121,31.8619385
Buhera,13,Maradzika,-19.265461,31.7047157
Buhera,6,Matsveru,-19.32448,31.5811977
Buhera,11,Mupamhanga,-19.1816826,31.8288136
Buhera,33,Matsikure,-19.953783,32.2611656
Buhera,8,Gandiwa,-19.128912,31.6316166
Buhera,23,Shangwa/Mabika,-19.45822,31.9981041
Buhera,4,Mupoperi,-19.3071632,31.3483067
Buhera,2,Mushambadzi,-19.245245,31.2734737
Buhera,26,Sengamai,-19.76649,32.03659
Buhera,23,Wurayayi,-19.439991,32.1387825
Buhera,4,Mbwera,-19.2974663,31.3237438
Buhera,24,Mungazi,-19.6332817,31.8910084
Buhera,8,Shonhiwa,-19.0468674,31.598999
Buhera,31,Chigowe,-19.115015,31.5871716
Buhera,18,Materere,-19.3149319,31.9479084
Buhera,29,Kurumwaone,-19.9363747,32.22399
Buhera,6,Musasa,-19.3693085,31.51603
Buhera,25,Makurumure,-19.5521088,32.0625954
Buhera,29,Dzara,-19.8385811,32.10046
Buhera,29,Mandega,-19.8413773,32.1077347
Buhera,26,Munorwei,-19.83726,32.02854
Buhera,13,Chinyanga,-19.25725,31.7058773
Buhera,9,Matide,-19.0545464,31.7319851
Buhera,11,Garisanai Village,-19.19919,31.8309441
Buhera,5,Dzorayi,-19.2558289,31.4491386
Buhera,18,Mukuvari,-19.3638649,31.8834362
Buhera,6,Gwada,-19.2913361,31.5410423
Buhera,8,Takundwa,-19.10915,31.62181
Buhera,3,Garamwera,-19.2188511,31.3794746
Buhera,3,Gaura,-19.1924267,31.3645515
Buhera,8,Madzivavanyika,-19.11593,31.6277237
Buhera,21,Chiurawa,-19.6680965,31.8544559
Buhera,16,Tondori,-19.4118557,31.5548534
Buhera,28,DUNE,-19.6206131,32.16106
Buhera,28,Maunze,-19.6629372,32.103775
