AREA,PERIMETER,ZI_CITY_,ZI_CITY_ID,PPPTTYPE,PPPTTYPETX,PPPTNAME,PPPTFLAG,LONG,LAT,Status,towns
0.000000,0.000000,"1","1","1",Populated places (no subcategories),Gaths Mine,"1",30.526350,-20.011570,,
0.000000,0.000000,"3","3","1",Populated places (no subcategories),Mashava,"1",30.495840,-20.050340,Semi Major,TOWN
0.000000,0.000000,"4","4","2",Populated places associated with city polygons,Masvingo,"1",30.823560,-20.062610,Major,TOWN
0.000000,0.000000,"5","5","1",Populated places (no subcategories),Bikita,"1",31.615220,-20.095740,,
0.000000,0.000000,"9","9","1",Populated places (no subcategories),Devuli Ranch,"1",32.089520,-20.139590,,
0.000000,0.000000,"11","11","1",Populated places (no subcategories),Junction Gate,"1",32.768360,-20.165720,,
0.000000,0.000000,"12","12","1",Populated places (no subcategories),Ndadza,"1",30.835520,-20.184940,,
0.000000,0.000000,"13","13","1",Populated places (no subcategories),Chipinge,"1",32.617530,-20.207710,Semi Major,TOWN
0.000000,0.000000,"17","17","1",Populated places (no subcategories),Chivi,"1",30.508060,-20.321900,,
0.000000,0.000000,"18","18","2",Populated places associated with city polygons,Zvishavane,"1",30.047290,-20.330510,Semi Major,TOWN
0.000000,0.000000,"20","20","1",Populated places (no subcategories),Zaka,"1",31.452900,-20.342000,,
0.000000,0.000000,"23","23","1",Populated places (no subcategories),Rupisi,"1",32.393040,-20.375850,,
0.000000,0.000000,"27","27","1",Populated places (no subcategories),Angus Ranch,"1",31.956970,-20.423320,,
0.000000,0.000000,"29","29","1",Populated places (no subcategories),Craigmore,"1",32.493510,-20.454700,,
0.000000,0.000000,"31","31","1",Populated places (no subcategories),Chitofa,"1",30.548340,-20.595510,,
0.000000,0.000000,"32","32","1",Populated places (no subcategories),Bota,"1",31.393420,-20.607430,,
0.000000,0.000000,"33","33","1",Populated places (no subcategories),Musiiwa,"1",31.109650,-20.618570,,
0.000000,0.000000,"35","35","1",Populated places (no subcategories),Mkasa,"1",32.272290,-20.660420,,
0.000000,0.000000,"37","37","1",Populated places (no subcategories),Glendevon,"1",31.621200,-20.703970,,
0.000000,0.000000,"41","41","1",Populated places (no subcategories),Lundi Mission,"1",30.782110,-20.902650,,
0.000000,0.000000,"43","43","1",Populated places (no subcategories),Triangle,"1",31.441800,-21.031680,Semi Major,TOWN
0.000000,0.000000,"47","47","1",Populated places (no subcategories),Chidumo Clinic,"1",31.820600,-21.067870,,
0.000000,0.000000,"50","50","1",Populated places (no subcategories),Hippo Valley,"1",31.549120,-21.167020,,
0.000000,0.000000,"51","51","1",Populated places (no subcategories),Rutenga,"1",30.735740,-21.251320,,
0.000000,0.000000,"54","54","1",Populated places (no subcategories),Mbizi,"1",31.007550,-21.395360,,
0.000000,0.000000,"57","57","1",Populated places (no subcategories),Mwenezi,"1",30.726720,-21.425510,,
0.000000,0.000000,"59","59","1",Populated places (no subcategories),Matibi,"1",31.318090,-21.683550,,
0.000000,0.000000,"60","60","1",Populated places (no subcategories),Kapateni,"1",32.031410,-21.705010,,
0.000000,0.000000,"61","61","1",Populated places (no subcategories),Tswiza,"1",31.568040,-21.815890,,
0.000000,0.000000,"64","64","1",Populated places (no subcategories),Nyala,"1",31.625340,-21.947640,,
0.000000,0.000000,"65","65","1",Populated places (no subcategories),Fort Rixon,"1",29.240980,-20.029660,,
0.000000,0.000000,"66","66","1",Populated places (no subcategories),Kashambi,"1",29.890200,-20.039440,,
0.000000,0.000000,"67","67","1",Populated places (no subcategories),Greystone,"1",29.497070,-20.127830,,
0.000000,0.000000,"68","68","1",Populated places (no subcategories),Pumula,"1",28.473210,-20.154320,,
0.000000,0.000000,"69","69","2",Populated places associated with city polygons,Bulawayo,"1",28.581160,-20.172190,Major,TOWN
0.000000,0.000000,"70","70","1",Populated places (no subcategories),Landcaster,"1",29.279030,-20.185390,,
0.000000,0.000000,"73","73","1",Populated places (no subcategories),Bannockburn,"1",29.882170,-20.286120,,
0.000000,0.000000,"74","74","1",Populated places (no subcategories),Esigodini,"1",28.936880,-20.296170,,
0.000000,0.000000,"76","76","1",Populated places (no subcategories),Figtree,"1",28.326680,-20.385910,,
0.000000,0.000000,"77","77","1",Populated places (no subcategories),Mbalabala,"1",29.055330,-20.438400,,
0.000000,0.000000,"78","78","1",Populated places (no subcategories),Pambuka,"1",29.683950,-20.443590,,
0.000000,0.000000,"80","80","1",Populated places (no subcategories),Marula,"1",28.093240,-20.487810,,
0.000000,0.000000,"81","81","1",Populated places (no subcategories),Plumtree,"1",27.812230,-20.494890,Semi Major,TOWN
0.000000,0.000000,"83","83","1",Populated places (no subcategories),Irisvale Halt,"1",29.063410,-20.517070,,
0.000000,0.000000,"84","84","1",Populated places (no subcategories),Filabusi,"1",29.282810,-20.539810,,
0.000000,0.000000,"85","85","1",Populated places (no subcategories),Mberengwa,"1",29.913140,-20.549530,,
0.000000,0.000000,"89","89","1",Populated places (no subcategories),Mwanezi,"1",29.699990,-20.757860,,
0.000000,0.000000,"91","91","1",Populated places (no subcategories),Kezi,"1",28.469190,-20.921650,,
0.000000,0.000000,"92","92","1",Populated places (no subcategories),Mabuze,"1",29.441450,-20.931210,,
0.000000,0.000000,"93","93","1",Populated places (no subcategories),Gwanda,"1",29.015710,-20.940120,Semi Major,TOWN
0.000000,0.000000,"94","94","1",Populated places (no subcategories),Colleen Bawn,"1",29.349320,-20.975930,,
0.000000,0.000000,"96","96","1",Populated places (no subcategories),Antenior,"1",29.066770,-20.995830,,
0.000000,0.000000,"98","98","1",Populated places (no subcategories),West Nicholson,"1",29.359350,-21.059920,,
0.000000,0.000000,"110","110","1",Populated places (no subcategories),Seboza,"1",29.125460,-21.667500,,
0.000000,0.000000,"112","112","1",Populated places (no subcategories),Mazunga,"1",29.871310,-21.736530,,
0.000000,0.000000,"114","114","1",Populated places (no subcategories),Mashachuta,"1",29.349890,-21.844200,,
0.000000,0.000000,"116","116","1",Populated places (no subcategories),Tuli,"1",29.199110,-21.921700,,
