Date,Indicator,Province,District,Ward,individualsreached,individualstargeted
12/5/2019,No. people reached,Manicaland,Buhera,5,53,53
12/5/2019,No. people reached,Manicaland,Buhera,6,7,7
12/5/2019,No. people reached,Manicaland,Buhera,10,90,90
12/5/2019,No. people reached,Manicaland,Buhera,11,180,180
12/5/2019,No. people reached,Manicaland,Buhera,13,315,315
12/5/2019,No. people reached,Manicaland,Buhera,16,75,75
12/5/2019,No. people reached,Manicaland,Buhera,19,40,40
12/5/2019,No. people reached,Manicaland,Buhera,21,40,40
12/5/2019,No. people reached,Manicaland,Buhera,23,20,20
12/5/2019,No. people reached,Manicaland,Buhera,24,19,19
12/5/2019,No. people reached,Manicaland,Buhera,25,517,500
12/5/2019,No. people reached,Manicaland,Buhera,27,508,500
12/5/2019,No. people reached,Manicaland,Buhera,29,856,2000
12/5/2019,No. people reached,Manicaland,Buhera,33,592,500
12/5/2019,No. people reached,Manicaland,Chimanimani,1,1420,2000
12/5/2019,No. people reached,Manicaland,Chimanimani,3,961,1175
12/5/2019,No. people reached,Manicaland,Chimanimani,4,525,875
12/5/2019,No. people reached,Manicaland,Chimanimani,8,870,1175
12/5/2019,No. people reached,Manicaland,Chimanimani,9,2034,3109
12/5/2019,No. people reached,Manicaland,Chimanimani,10,1157,12472
12/5/2019,No. people reached,Manicaland,Chimanimani,11,740,6435
12/5/2019,No. people reached,Manicaland,Chimanimani,12,11069,23600
12/5/2019,No. people reached,Manicaland,Chimanimani,13,4149,14000
12/5/2019,No. people reached,Manicaland,Chimanimani,14,12694,35833
12/5/2019,No. people reached,Manicaland,Chimanimani,15,14418,17984
12/5/2019,No. people reached,Manicaland,Chimanimani,16,9766,10000
12/5/2019,No. people reached,Manicaland,Chimanimani,17,20399,23109
12/5/2019,No. people reached,Manicaland,Chimanimani,18,768,768
12/5/2019,No. people reached,Manicaland,Chimanimani,21,7339,16042
12/5/2019,No. people reached,Manicaland,Chimanimani,22,12715,21350
12/5/2019,No. people reached,Manicaland,Chimanimani,23,2931,3707
12/5/2019,No. people reached,Manicaland,Chipinge,1,20000,20000
12/5/2019,No. people reached,Manicaland,Chipinge,2,1750,2500
12/5/2019,No. people reached,Manicaland,Chipinge,3,895,0
12/5/2019,No. people reached,Manicaland,Chipinge,4,1430,1430
12/5/2019,No. people reached,Manicaland,Chipinge,5,473,1053
12/5/2019,No. people reached,Manicaland,Chipinge,6,1900,1066
12/5/2019,No. people reached,Manicaland,Chipinge,7,655,0
12/5/2019,No. people reached,Manicaland,Chipinge,8,1119,1119
12/5/2019,No. people reached,Manicaland,Chipinge,9,3180,7115
12/5/2019,No. people reached,Manicaland,Chipinge,11,983,983
12/5/2019,No. people reached,Manicaland,Chipinge,12,909,1150
12/5/2019,No. people reached,Manicaland,Chipinge,13,845,3465
12/5/2019,No. people reached,Manicaland,Chipinge,14,2420,3000
12/5/2019,No. people reached,Manicaland,Chipinge,15,3325,3325
12/5/2019,No. people reached,Manicaland,Chipinge,16,2288,2868
12/5/2019,No. people reached,Manicaland,Chipinge,17,2439,4500
12/5/2019,No. people reached,Manicaland,Chipinge,18,38,39
12/5/2019,No. people reached,Manicaland,Chipinge,19,1571,1571
12/5/2019,No. people reached,Manicaland,Chipinge,20,589,4500
12/5/2019,No. people reached,Manicaland,Chipinge,21,1589,4500
12/5/2019,No. people reached,Manicaland,Chipinge,25,865,3463
12/5/2019,No. people reached,Manicaland,Mutare,22,446,2082
12/5/2019,No. people reached,Manicaland,Mutasa,11,143,0
12/5/2019,No. people reached,Manicaland,Mutasa,19,196,50
12/5/2019,No. people reached,Masvingo,Bikita,1,3748,14500
12/5/2019,No. people reached,Masvingo,Bikita,26,970,2100
12/5/2019,No. people reached,Masvingo,Chiredzi,1,512,12500
12/5/2019,No. people reached,Masvingo,Chiredzi,24,1324,5000
12/5/2019,No. people reached,Masvingo,Gutu,1,4230,10590
12/5/2019,No. people reached,Masvingo,Gutu,11,600,895
12/5/2019,No. people reached,Masvingo,Masvingo,1,712,1628
12/5/2019,No. people reached,Masvingo,Zaka,1,491,1200
12/5/2019,No. people reached,Masvingo,Zaka,2,1200,1700
12/5/2019,No. people reached,Masvingo,Zaka,3,369,500
12/5/2019,No. people reached,Masvingo,Zaka,5,369,500
12/5/2019,No. people reached,Masvingo,Zaka,6,369,500
12/5/2019,No. people reached,Masvingo,Zaka,7,369,500
12/5/2019,No. people reached,Masvingo,Zaka,14,369,500
12/5/2019,No. people reached,Masvingo,Zaka,15,369,500
12/5/2019,No. people reached,Masvingo,Zaka,17,369,500
12/5/2019,No. people reached,Masvingo,Zaka,20,369,500
12/5/2019,No. people reached,Masvingo,Zaka,21,369,500
12/5/2019,No. people reached,Masvingo,Zaka,22,369,500
12/5/2019,No. people reached,Masvingo,Zaka,24,369,500
12/5/2019,No. people reached,Masvingo,Zaka,27,369,500
