Date,Indicator,Province,District,Ward,individualsreached,individualstargeted
12/5/2019,# of people reached with other WASH services,Manicaland,Buhera,5,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Buhera,6,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Buhera,10,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Buhera,11,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Buhera,13,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Buhera,16,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Buhera,19,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Buhera,21,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Buhera,23,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Buhera,24,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Buhera,25,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Buhera,27,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Buhera,29,10,50
12/5/2019,# of people reached with other WASH services,Manicaland,Buhera,33,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chimanimani,1,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chimanimani,3,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chimanimani,4,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chimanimani,8,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chimanimani,9,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chimanimani,10,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chimanimani,11,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chimanimani,12,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chimanimani,13,2310,2310
12/5/2019,# of people reached with other WASH services,Manicaland,Chimanimani,14,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chimanimani,15,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chimanimani,16,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chimanimani,17,851,851
12/5/2019,# of people reached with other WASH services,Manicaland,Chimanimani,18,768,768
12/5/2019,# of people reached with other WASH services,Manicaland,Chimanimani,21,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chimanimani,22,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chimanimani,23,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,1,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,2,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,3,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,4,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,5,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,6,1066,1066
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,7,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,8,1119,1119
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,9,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,11,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,12,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,13,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,14,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,15,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,16,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,17,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,18,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,19,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,20,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,21,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Chipinge,25,0,0
12/5/2019,# of people reached with other WASH services,Manicaland,Mutare,22,104,0
12/5/2019,# of people reached with other WASH services,Manicaland,Mutasa,11,143,0
12/5/2019,# of people reached with other WASH services,Manicaland,Mutasa,19,196,50
12/5/2019,# of people reached with other WASH services,Masvingo,Bikita,1,0,0
12/5/2019,# of people reached with other WASH services,Masvingo,Bikita,26,0,0
12/5/2019,# of people reached with other WASH services,Masvingo,Chiredzi,1,0,0
12/5/2019,# of people reached with other WASH services,Masvingo,Chiredzi,24,0,0
12/5/2019,# of people reached with other WASH services,Masvingo,Gutu,1,0,0
12/5/2019,# of people reached with other WASH services,Masvingo,Gutu,11,0,0
12/5/2019,# of people reached with other WASH services,Masvingo,Masvingo,1,0,0
12/5/2019,# of people reached with other WASH services,Masvingo,Zaka,1,0,0
12/5/2019,# of people reached with other WASH services,Masvingo,Zaka,2,0,0
12/5/2019,# of people reached with other WASH services,Masvingo,Zaka,3,0,0
12/5/2019,# of people reached with other WASH services,Masvingo,Zaka,5,0,0
12/5/2019,# of people reached with other WASH services,Masvingo,Zaka,6,0,0
12/5/2019,# of people reached with other WASH services,Masvingo,Zaka,7,0,0
12/5/2019,# of people reached with other WASH services,Masvingo,Zaka,14,0,0
12/5/2019,# of people reached with other WASH services,Masvingo,Zaka,15,0,0
12/5/2019,# of people reached with other WASH services,Masvingo,Zaka,17,0,0
12/5/2019,# of people reached with other WASH services,Masvingo,Zaka,20,0,0
