Date,Indicator,Province,District,Ward,individualsreached,individualstargeted
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Buhera,5,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Buhera,6,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Buhera,10,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Buhera,11,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Buhera,13,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Buhera,16,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Buhera,19,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Buhera,21,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Buhera,23,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Buhera,24,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Buhera,25,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Buhera,27,508,500
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Buhera,29,492,500
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Buhera,33,592,500
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chimanimani,3,436,300
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chimanimani,4,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chimanimani,8,345,300
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chimanimani,9,"2,034","3,109"
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chimanimani,10,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chimanimani,11,417,"6,042"
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chimanimani,12,"11,069","23,600"
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chimanimani,13,"2,767","12,175"
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chimanimani,14,"12,694","35,833"
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chimanimani,15,"14,418","15,884"
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chimanimani,16,854,600
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chimanimani,17,"11,972","13,709"
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chimanimani,18,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chimanimani,21,567,"6,642"
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chimanimani,22,"1,267","6,642"
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chimanimani,23,"2,931","3,707"
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,1,"16,285","16,285"
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,2,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,3,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,4,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,5,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,6,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,7,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,8,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,9,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,11,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,12,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,13,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,14,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,15,609,600
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,16,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,17,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,18,38,39
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,19,623,600
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,20,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,21,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Chipinge,25,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Mutare,22,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Mutasa,11,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Manicaland,Mutasa,19,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Masvingo,Bikita,1,"3,321","12,500"
12/5/2019,# of people receiving sanitation and hygiene messages,Masvingo,Bikita,26,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Masvingo,Chiredzi,24,"1,324","5,000"
12/5/2019,# of people receiving sanitation and hygiene messages,Masvingo,Gutu,1,"4,230","10,590"
12/5/2019,# of people receiving sanitation and hygiene messages,Masvingo,Gutu,11,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Masvingo,Masvingo,1,712,"1,628"
12/5/2019,# of people receiving sanitation and hygiene messages,Masvingo,Zaka,2,0,0
12/5/2019,# of people receiving sanitation and hygiene messages,Masvingo,Zaka,3,369,500
12/5/2019,# of people receiving sanitation and hygiene messages,Masvingo,Zaka,5,369,500
12/5/2019,# of people receiving sanitation and hygiene messages,Masvingo,Zaka,6,369,500
12/5/2019,# of people receiving sanitation and hygiene messages,Masvingo,Zaka,7,369,500
12/5/2019,# of people receiving sanitation and hygiene messages,Masvingo,Zaka,14,369,500
12/5/2019,# of people receiving sanitation and hygiene messages,Masvingo,Zaka,15,369,500
12/5/2019,# of people receiving sanitation and hygiene messages,Masvingo,Zaka,17,369,500
12/5/2019,# of people receiving sanitation and hygiene messages,Masvingo,Zaka,20,369,500
12/5/2019,# of people receiving sanitation and hygiene messages,Masvingo,Zaka,21,369,500
12/5/2019,# of people receiving sanitation and hygiene messages,Masvingo,Zaka,22,369,500
12/5/2019,# of people receiving sanitation and hygiene messages,Masvingo,Zaka,24,369,500
12/5/2019,# of people receiving sanitation and hygiene messages,Masvingo,Zaka,27,369,500
