Date,Indicator,Province,District,Ward,individualsreached,individualstargeted
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Buhera,5,0,0
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Buhera,6,0,0
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Buhera,10,90,90
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Buhera,11,180,180
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Buhera,13,315,315
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Buhera,16,75,75
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Buhera,19,0,0
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Buhera,21,0,0
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Buhera,23,0,0
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Buhera,24,0,0
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Buhera,25,0,0
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Buhera,27,508,500
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Buhera,29,492,500
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Buhera,33,592,500
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chimanimani,1,1420,2000
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chimanimani,3,961,1175
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chimanimani,4,525,875
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chimanimani,8,870,1175
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chimanimani,9,2034,3109
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chimanimani,10,740,6430
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chimanimani,11,740,6435
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chimanimani,12,262,300
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chimanimani,13,3850,7633
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chimanimani,14,2358,6708
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chimanimani,15,14001,10142
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chimanimani,16,854,600
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chimanimani,17,11972,13709
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chimanimani,18,0,0
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chimanimani,21,7339,8434
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chimanimani,22,12715,21350
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chimanimani,23,2931,3707
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,1,5535,5535
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,2,850,850
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,3,895,0
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,4,1430,1430
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,5,473,1053
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,6,0,0
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,7,655,0
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,8,0,0
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,9,2624,7115
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,11,0,0
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,12,172,1150
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,13,0,0
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,14,2420,3000
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,15,609,600
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,16,2288,2868
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,17,2439,4500
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,18,0,0
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,19,623,600
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,20,589,4500
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,21,589,4500
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Chipinge,25,0,0
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Mutare,22,0,0
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Mutasa,11,0,0
12/5/2019,# of people receiving WASH NFI kits ,Manicaland,Mutasa,19,0,0
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Bikita,1,3748,14500
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Bikita,26,970,2100
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Chiredzi,,0,0
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Chiredzi,24,1324,5000
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Gutu,,4230,10590
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Gutu,11,600,895
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Masvingo,1,0,0
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Zaka,,491,1200
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Zaka,2,1200,1700
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Zaka,3,369,500
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Zaka,5,369,500
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Zaka,6,369,500
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Zaka,7,369,500
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Zaka,14,369,500
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Zaka,15,369,500
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Zaka,17,369,500
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Zaka,20,369,500
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Zaka,21,369,500
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Zaka,22,369,500
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Zaka,24,369,500
12/5/2019,# of people receiving WASH NFI kits ,Masvingo,Zaka,27,369,500
